Gene_ID,Product description,Gene Identification,MIS,MFS
PF3D7_0100100,"erythrocyte membrane protein 1, PfEMP1",Mutable in CDS,1,-1.706
PF3D7_0100200,rifin,Non - Mutable in CDS,0.182,-2.624
PF3D7_0100300,"erythrocyte membrane protein 1, PfEMP1",Non - Mutable in CDS,0.663,-2.461
PF3D7_0100400,rifin,Non - Mutable in CDS,0.984,-1.854
PF3D7_0100500,"erythrocyte membrane protein 1 (PfEMP1), exon 1, pseudogene",Non - Mutable in CDS,0.146,-2.885
PF3D7_0100600,rifin,Non - Mutable in CDS,0.888,-2.239
PF3D7_0100700,"Plasmodium exported protein, unknown function, fragment",Non - Mutable in CDS,0.122,0
PF3D7_0100800,rifin,Non - Mutable in CDS,0.206,-2.632
PF3D7_0100900,rifin,Mutable in CDS,1,1.011
PF3D7_0101000,rifin,Non - Mutable in CDS,0.703,-2.524
PF3D7_0101100,exported protein family 4,Non - Mutable in CDS,0.151,-2.77
PF3D7_0101200,exported protein family 3,Mutable in CDS,0.795,-2.494
PF3D7_0101300,Pfmc-2TM Maurer's cleft two transmembrane protein,Mutable in CDS,1,-1.492
PF3D7_0101400,"exported protein family 1, pseudogene",Non - Mutable in CDS,0.14,-3.052
PF3D7_0101500,"erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene",Non - Mutable in CDS,0.963,-2.374
PF3D7_0101600,rifin,Non - Mutable in CDS,0.199,-2.872
PF3D7_0101700,"erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene",Non - Mutable in CDS,0.895,-2.228
PF3D7_0101800,stevor,Non - Mutable in CDS,0.513,-2.311
PF3D7_0101900,rifin,Non - Mutable in CDS,0.994,-2.047
PF3D7_0102000,"Plasmodium exported protein (PHISTa), unknown function, pseudogene",Non - Mutable in CDS,0.693,-2.364
PF3D7_0102100,"stevor, pseudogene",Non - Mutable in CDS,0.929,-2.129
PF3D7_0102200,ring-infected erythrocyte surface antigen,Mutable in CDS,1,-2.166
PF3D7_0102300,"Plasmodium exported protein, unknown function",Mutable in CDS,0.932,-1.688
PF3D7_0102400,"lysophospholipase, putative, pseudogene",Non - Mutable in CDS,0.147,-2.741
PF3D7_0102500,erythrocyte binding antigen-181,Mutable in CDS,0.999,-2.102
PF3D7_0102600,"serine/threonine protein kinase, FIKK family",Mutable in CDS,1,-0.921
PF3D7_0102700,merozoite-associated tryptophan-rich antigen,Non - Mutable in CDS,0.142,-2.851
PF3D7_0102800,"conserved Plasmodium protein, unknown function",Mutable in CDS,0.99,-0.096
PF3D7_0102900,aspartate--tRNA ligase,Non - Mutable in CDS,0.119,-2.954
PF3D7_0103000,"vacuolar protein sorting-associated protein VTA1, putative",Non - Mutable in CDS,0.123,-3.123
PF3D7_0103100,"vacuolar protein sorting-associated protein 51, putative",Non - Mutable in CDS,0.165,-2.812
PF3D7_0103200,nucleoside transporter 4,Non - Mutable in CDS,0.12,-3.064
PF3D7_0103300,"conserved Plasmodium protein, unknown function",Non - Mutable in CDS,0.12,-2.961
PF3D7_0103400,"zinc-carboxypeptidase, putative",Mutable in CDS,1,-0.537
PF3D7_0103500,"conserved Plasmodium protein, unknown function",Mutable in CDS,1,-0.989
PF3D7_0103600,"ATP-dependent RNA helicase, putative",Mutable in CDS,1,-1.61
PF3D7_0103700,"L-seryl-tRNA(Sec) kinase, putative",Mutable in CDS,1,-2.284
PF3D7_0103800,actin-related protein,Mutable in CDS,1,0.633
